Country Code	Nome	Ano	"Taxa de mortalidade (por 1000 pessoas)"	"Expectativa de vida à nascença (anos)"	"Desemprego de Longo Prazo (%)"	"Desemprego de Longo Prazo Feminino (%)"	"Long-term unemployment, male (% of male unemployment)"	"População entre os 0 e os 14 anos (%)"	"População entre os 15 e os 64 anos (%)"	"População com 65 anos ou mais (%)"	"Crescimento Populacional (% anual)"	"População Feminina (%)"	"População total"	"Desempregados com ensino básico (% do desemprego total)"	"Desempregados com ensino básico, mulheres (% do desemprego feminino total)"	"Unemployment with primary education, male (% of male unemployment)"	"Desempregados com ensino secundário (% do desemprego total)"	"Desempregados com ensino secundário, mulheres (% do desemprego feminino total)"	"Unemployment with secondary education, male (% of male unemployment)"	"Desempregados com ensino superior (% do desemprego total)"	"Desempregados com ensino superior, mulheres (% do desemprego feminino total)"	"Unemployment with tertiary education, male (% of male unemployment)"	"Desemprego, mulheres (% força de trabalho feminina)"	"Unemployment, male (% of male labor force)"	"Desemprego Total (%)"	"Desemprego, juventude feminina (% força de trabalho feminina entres os 15 e os 24 anos)"	"Desemprego jovem (% força de trabalho entres os 15 e os 24 anos)"
ALB	Albania	1968	8.366	66.47495122	0	0	0	41.43655872	53.29344356	5.269997711	2.84251071	48.51062418	2022272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	1969	8.184	66.68160976	0	0	0	41.19772896	53.5826566	5.219614442	2.896083388	48.50920889	2081695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	1970	7.996	66.93258537	0	0	0	40.90994057	53.89672287	5.193336563	2.550851178	48.51167255	2135479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	1971	7.797	67.23887805	0	0	0	40.54127082	54.27798768	5.180741494	2.422972017	48.51869176	2187853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	1972	7.59	67.58595122	0	0	0	40.17903651	54.64371504	5.17724845	2.494973107	48.52926691	2243126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	1973	7.381	67.95795122	0	0	0	39.79004327	55.0290785	5.180878222	2.362552224	48.54108783	2296752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	1974	7.172	68.34834146	0	0	0	39.32876737	55.48303199	5.188200641	2.297214176	48.55124112	2350124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	1975	6.969	68.74121951	0	0	0	38.78466127	56.01848684	5.196851896	2.30115381	48.55797604	2404831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	1976	6.782	69.1155122	0	0	0	38.29604543	56.48685367	5.217100901	2.208235255	48.56074938	2458526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	1977	6.619	69.45617073	0	0	0	37.71030185	57.05118098	5.238517175	2.213252179	48.56086635	2513546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
